lng,lat,date,customdate,time,customtime,crime,location,region,province,modus,crimetype,station,moduscode,date_com,datechar
121.045,14.6165,2018-07-14,"Sat - Jul 14, 2018",08:30:00,8:30:AM,ROBBERY,"Kaunlaran, Cubao, Quezon City, NCR",130000000,137700000,Akyat Bahay,8,Police Station 07 Cubao,mc49,0000-00-00,Sat - Jul 
121.05,14.7328,2018-07-15,"Sun - Jul 15, 2018",17:30:00,5:30:PM,Vehicular Traffic Accident,"Kaligayahan, Fairview, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 05 Fairview,mc00,0000-00-00,Sun - Jul 
121.052,14.6206,2018-07-14,"Sat - Jul 14, 2018",22:10:00,10:10:PM,ROBBERY,"Socorro, Cubao, Quezon City, NCR",130000000,137700000,Breaking and Entering,8,Police Station 07 Cubao,mc97,0000-00-00,Sat - Jul 
121.051,14.619,2018-07-15,"Sun - Jul 15, 2018",13:30:00,1:30:PM,Vehicular Traffic Accident,"Socorro, Cubao, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 07 Cubao,mc00,0000-00-00,Sun - Jul 
121.052,14.6205,2018-07-14,"Sat - Jul 14, 2018",00:50:00,12:50:AM,Vehicular Traffic Accident,"Socorro, Cubao, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 07 Cubao,mc00,0000-00-00,Sat - Jul 
121.055,14.6194,2018-07-09,"Mon - Jul 9, 2018",11:15:00,11:15:AM,Vehicular Traffic Accident,"Socorro, Cubao, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 07 Cubao,mc00,0000-00-00,Mon - Jul 
121.061,14.6126,2018-07-13,"Fri - Jul 13, 2018",02:00:00,2:00:AM,Vehicular Traffic Accident,"Socorro, Cubao, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 07 Cubao,mc00,0000-00-00,Fri - Jul 
121.055,14.6104,2018-07-11,"Wed - Jul 11, 2018",19:00:00,7:00:PM,Vehicular Traffic Accident,"Socorro, Cubao, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 07 Cubao,mc00,0000-00-00,Wed - Jul 
121.055,14.6183,2018-07-14,"Sat - Jul 14, 2018",16:45:00,4:45:PM,Vehicular Traffic Accident,"Socorro, Cubao, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 07 Cubao,mc00,0000-00-00,Sat - Jul 
121.055,14.6241,2018-07-11,"Wed - Jul 11, 2018",19:45:00,7:45:PM,Vehicular Traffic Accident,"E. Rodriguez, Cubao, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 07 Cubao,mc00,0000-00-00,Wed - Jul 
121.053,14.6241,2018-07-11,"Wed - Jul 11, 2018",10:45:00,10:45:AM,Vehicular Traffic Accident,"E. Rodriguez, Cubao, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 07 Cubao,mc00,0000-00-00,Wed - Jul 
121.048,14.6279,2018-07-15,"Sun - Jul 15, 2018",09:50:00,9:50:AM,Vehicular Traffic Accident,"E. Rodriguez, Cubao, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 07 Cubao,mc00,0000-00-00,Sun - Jul 
121.056,14.6219,2018-07-13,"Fri - Jul 13, 2018",10:00:00,10:00:AM,Vehicular Traffic Accident,"Socorro, Cubao, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 07 Cubao,mc00,0000-00-00,Fri - Jul 
121.06,14.6195,2018-07-09,"Mon - Jul 9, 2018",08:50:00,8:50:AM,Vehicular Traffic Accident,"Socorro, Cubao, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 07 Cubao,mc00,0000-00-00,Mon - Jul 
121.057,14.627,2018-07-14,"Sat - Jul 14, 2018",10:30:00,10:30:AM,Vehicular Traffic Accident,"Silangan, Cubao, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 07 Cubao,mc00,0000-00-00,Sat - Jul 
121.06,14.6165,2018-07-12,"Thu - Jul 12, 2018",04:25:00,4:25:AM,Vehicular Traffic Accident,"Socorro, Cubao, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 07 Cubao,mc00,0000-00-00,Thu - Jul 
121.06,14.6169,2018-07-12,"Thu - Jul 12, 2018",04:25:00,4:25:AM,Vehicular Traffic Accident,"Socorro, Cubao, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 07 Cubao,mc00,0000-00-00,Thu - Jul 
121.056,14.6263,2018-07-12,"Thu - Jul 12, 2018",12:14:00,12:14:PM,Vehicular Traffic Accident,"E. Rodriguez, Cubao, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 07 Cubao,mc00,0000-00-00,Thu - Jul 
121.064,14.6192,2018-07-04,"Wed - Jul 4, 2018",05:30:00,5:30:AM,Vehicular Traffic Accident,"San Roque, Cubao, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 07 Cubao,mc00,0000-00-00,Wed - Jul 
121.057,14.6246,2018-07-14,"Sat - Jul 14, 2018",00:15:00,12:15:AM,Vehicular Traffic Accident,"San Roque, Cubao, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 07 Cubao,mc00,0000-00-00,Sat - Jul 
121.066,14.6137,2018-07-12,"Thu - Jul 12, 2018",23:40:00,11:40:PM,Vehicular Traffic Accident,"San Roque, Cubao, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 07 Cubao,mc00,0000-00-00,Thu - Jul 
121.057,14.6191,2018-07-12,"Thu - Jul 12, 2018",16:30:00,4:30:PM,Vehicular Traffic Accident,"Socorro, Cubao, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 07 Cubao,mc00,0000-00-00,Thu - Jul 
121.054,14.6236,2018-07-13,"Fri - Jul 13, 2018",22:30:00,10:30:PM,Vehicular Traffic Accident,"E. Rodriguez, Cubao, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 07 Cubao,mc00,0000-00-00,Fri - Jul 
121.062,14.6197,2018-07-12,"Thu - Jul 12, 2018",08:30:00,8:30:AM,Vehicular Traffic Accident,"San Roque, Cubao, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 07 Cubao,mc00,0000-00-00,Thu - Jul 
121.049,14.6255,2018-07-13,"Fri - Jul 13, 2018",20:20:00,8:20:PM,Vehicular Traffic Accident,"E. Rodriguez, Cubao, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 07 Cubao,mc00,0000-00-00,Fri - Jul 
121.058,14.6248,2018-07-13,"Fri - Jul 13, 2018",20:30:00,8:30:PM,Vehicular Traffic Accident,"San Roque, Cubao, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 07 Cubao,mc00,0000-00-00,Fri - Jul 
121.075,14.6513,2018-07-15,"Sun - Jul 15, 2018",18:03:00,6:03:PM,THEFT,"U.P. Campus, Quirino, Quezon City, NCR",130000000,137700000,Shoplifting,10,Police Station 09 Quirino,mc72,0000-00-00,Sun - Jul 
121.075,14.6512,2018-07-15,"Sun - Jul 15, 2018",16:14:00,4:14:PM,THEFT,"U.P. Campus, Quirino, Quezon City, NCR",130000000,137700000,Shoplifting,10,Police Station 09 Quirino,mc72,0000-00-00,Sun - Jul 
121.087,14.6766,2018-07-15,"Sun - Jul 15, 2018",18:30:00,6:30:PM,PHYSICAL INJURIES,"Batasan Hills, Batasan, Quezon City, NCR",130000000,137700000,Stabbing/Hacking,6,Police Station 06 Batasan,mc94,0000-00-00,Sun - Jul 
121.058,14.7357,2018-07-16,"Mon - Jul 16, 2018",01:00:00,1:00:AM,PHYSICAL INJURIES,"Pasong Putik Proper (Pasong Putik), Fairview, Quezon City, NCR",130000000,137700000,Mauling,6,Police Station 05 Fairview,mc92,0000-00-00,Mon - Jul 
121.1,14.6786,2018-07-15,"Sun - Jul 15, 2018",16:20:00,4:20:PM,PHYSICAL INJURIES,"Batasan Hills, Batasan, Quezon City, NCR",130000000,137700000,Stabbing/Hacking,6,Police Station 06 Batasan,mc94,0000-00-00,Sun - Jul 
121.096,14.7055,2018-07-16,"Mon - Jul 16, 2018",03:30:00,3:30:AM,ANTI-CARNAPPING ACT (R.A. 6539) MC,"Payatas, Batasan, Quezon City, NCR",130000000,137700000,Swpu (Stolen While Parked),366,Police Station 06 Batasan,mc86,0000-00-00,Mon - Jul 
121.087,14.6928,2018-07-10,"Tue - Jul 10, 2018",02:30:00,2:30:AM,ROBBERY,"Commonwealth, Batasan, Quezon City, NCR",130000000,137700000,Hold-Up W/ Sharp Object,8,Police Station 06 Batasan,mc55,0000-00-00,Tue - Jul 
121.033,14.6345,2018-07-15,"Sun - Jul 15, 2018",10:30:00,10:30:AM,Vehicular Traffic Accident,"Laging Handa, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Sun - Jul 
121.044,14.6193,2018-07-15,"Sun - Jul 15, 2018",23:30:00,11:30:PM,Vehicular Traffic Accident,"Immaculate Concepcion, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Sun - Jul 
121.046,14.6307,2018-07-15,"Sun - Jul 15, 2018",22:10:00,10:10:PM,Vehicular Traffic Accident,"Kamuning, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Sun - Jul 
121.035,14.6351,2018-07-15,"Sun - Jul 15, 2018",19:30:00,7:30:PM,Vehicular Traffic Accident,"South Triangle, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Sun - Jul 
121.038,14.6439,2018-07-14,"Sat - Jul 14, 2018",07:00:00,7:00:AM,Vehicular Traffic Accident,"South Triangle, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Sat - Jul 
121.047,14.6274,2018-07-16,"Mon - Jul 16, 2018",07:00:00,7:00:AM,Vehicular Traffic Accident,"Pinagkaisahan, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Mon - Jul 
121.05,14.6216,2018-07-15,"Sun - Jul 15, 2018",23:30:00,11:30:PM,Vehicular Traffic Accident,"Immaculate Concepcion, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Sun - Jul 
121.031,14.6359,2018-07-15,"Sun - Jul 15, 2018",21:38:00,9:38:PM,Vehicular Traffic Accident,"South Triangle, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Sun - Jul 
121.046,14.6307,2018-07-15,"Sun - Jul 15, 2018",19:30:00,7:30:PM,Vehicular Traffic Accident,"Kamuning, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Sun - Jul 
121.033,14.6354,2018-07-15,"Sun - Jul 15, 2018",20:30:00,8:30:PM,Vehicular Traffic Accident,"South Triangle, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Sun - Jul 
